# Name | Longitude | Latitude | Width | Length | Height | R | G | B
综合科研2号楼|116.30109933333333|39.988159079999996|40.0|60.0|30.0|0.6|0.6|0.7
核磁中心|116.30154672222223|39.98848092222222|25.0|35.0|15.0|0.6|0.6|0.7
51号楼|116.30260944|39.98903934|20.0|45.0|15.0|0.7|0.6|0.5
52号楼|116.3029789|39.989021055555554|20.0|45.0|15.0|0.7|0.6|0.5
60号楼|116.30304631999999|39.9885014|20.0|45.0|15.0|0.7|0.6|0.5
59号楼|116.30306527333333|39.98816177333333|20.0|45.0|15.0|0.7|0.6|0.5
53号楼|116.3035895888889|39.989059866666665|20.0|45.0|15.0|0.7|0.6|0.5
54号楼|116.3034429909091|39.988734300000004|20.0|45.0|15.0|0.7|0.6|0.5
56号楼|116.30344118000001|39.988327850000005|20.0|45.0|15.0|0.7|0.6|0.5
62号楼|116.30257796000001|39.9880714|20.0|45.0|15.0|0.7|0.6|0.5
61号楼|116.30221727777777|39.988086144444445|20.0|45.0|15.0|0.7|0.6|0.5
50号楼|116.30181980909092|39.98895218181818|20.0|45.0|15.0|0.7|0.6|0.5
北京大学城市与环境学院|116.3099179|39.99475726666667|40.0|55.0|30.0|0.6|0.7|0.6
北京大学建筑与景观设计学院|116.30982469333334|39.995546940000004|35.0|45.0|25.0|0.6|0.7|0.6
朗润园11号楼|116.30557612|39.9977499|15.0|35.0|15.0|0.7|0.6|0.5
朗润园10号楼|116.30563079999999|39.9974523|15.0|35.0|15.0|0.7|0.6|0.5
朗润园9号楼|116.30568836|39.99713488|15.0|35.0|15.0|0.7|0.6|0.5
朗润园8号楼|116.30574016|39.9968284|15.0|35.0|15.0|0.7|0.6|0.5
朗润园13号楼|116.30358262|39.997657319999995|15.0|35.0|15.0|0.7|0.6|0.5
科维理天文与天体物理研究所|116.3047330888889|39.99790981111111|30.0|40.0|15.0|0.6|0.6|0.7
西46楼|116.30971847999999|39.997646100000004|20.0|50.0|24.0|0.7|0.6|0.5
西47楼|116.30998193999999|39.99731344|20.0|50.0|24.0|0.7|0.6|0.5
哲学系（宗教学系）|116.30607571666667|39.99524606666667|30.0|45.0|20.0|0.6|0.6|0.6
中国语言文学系|116.30589881666667|39.99617765|30.0|45.0|20.0|0.6|0.6|0.6
历史学系|116.30517970625|39.9961493625|30.0|45.0|20.0|0.6|0.6|0.6
李兆基人文学苑|116.30548771333333|39.99576767333333|40.0|50.0|18.0|0.7|0.6|0.5
李兆基人文学苑|116.30544814210526|39.995582999999996|40.0|50.0|18.0|0.7|0.6|0.5
李兆基人文学苑|116.30555333888888|39.99537188888889|40.0|50.0|18.0|0.7|0.6|0.5
46楼|116.2996809888889|39.987461555555555|20.0|50.0|24.0|0.7|0.6|0.5
47楼|116.29976678888889|39.987031099999996|20.0|50.0|24.0|0.7|0.6|0.5
48楼|116.29979607777778|39.98666105555556|20.0|50.0|24.0|0.7|0.6|0.5
中水站|116.29862997000001|39.995124419999996|20.0|25.0|15.0|0.5|0.5|0.6
考古文博学院|116.30034610000001|39.995451554545454|35.0|45.0|22.0|0.7|0.5|0.4
实验动物中心B座|116.300484525|39.99597779166667|30.0|40.0|20.0|0.6|0.6|0.6
外国语学院|116.30651947777778|39.99680131111111|35.0|50.0|22.0|0.6|0.6|0.6
2 号楼|116.29753285172413|39.99025855517242|20.0|45.0|18.0|0.7|0.6|0.5
校景亭|116.30052014|39.994984720000005|10.0|10.0|12.0|0.7|0.5|0.4
3 号楼|116.29745111111112|39.990679418518525|20.0|45.0|18.0|0.7|0.6|0.5
1 号楼|116.29753144800002|39.98907884|20.0|45.0|18.0|0.7|0.6|0.5
4 号楼|116.297422825|39.99106002916667|20.0|45.0|18.0|0.7|0.6|0.5
实验动物中心A座|116.299714975|39.9959508375|30.0|40.0|20.0|0.6|0.6|0.6
李兆基人文学苑|116.30537771666667|39.995132250000005|40.0|50.0|18.0|0.7|0.6|0.5
北大-港理工中国社会工作研究中心（恩善苑）|116.30146074545455|39.99628267272727|25.0|35.0|15.0|0.6|0.5|0.4
章桂堂|116.30462378|39.992316779999996|15.0|20.0|12.0|0.6|0.5|0.4
亨利楼|116.30500344|39.9922655|20.0|30.0|15.0|0.6|0.5|0.4
北大科技园|116.30837258888889|39.99635804444445|50.0|70.0|40.0|0.5|0.5|0.6
北京大学南门|116.3054565|39.98527|10.0|25.0|12.0|0.8|0.3|0.3
西南门|116.2995189|39.9864392|10.0|25.0|12.0|0.8|0.3|0.3
东门|116.3093076|39.9907995|10.0|25.0|12.0|0.8|0.3|0.3
东侧门|116.3092297|39.991764|10.0|25.0|12.0|0.8|0.3|0.3
东南门|116.3094367|39.9887974|10.0|25.0|12.0|0.8|0.3|0.3
