id,type,name,highway,point_count,coordinates
way/79697524,LineString,新民路,residential,19,"116.3245754,39.9997936;116.3245733,39.9998396;116.3245159,40.0010982;116.3245034,40.0013037;116.3244545,40.00211;116.324442,40.002317;116.3243713,40.0034826;116.3243498,40.0038538;116.32433,40.004164;116.3243242,40.0042605;116.3243071,40.0045429;116.3242998,40.0046623;116.3242998,40.004928;116.3242844,40.005337;116.3242677,40.0059835;116.3242655,40.006026;116.324237,40.0066806;116.3242108,40.0071709;116.3241541,40.0077699"
way/80318971,LineString,,service,9,"116.3180331,40.0007425;116.31799,40.0012617;116.3179317,40.0018713;116.3179279,40.0019115;116.3179125,40.001994;116.3178969,40.0020781;116.3178067,40.0025984;116.3178001,40.0026231;116.3177876,40.0026694"
way/80318974,LineString,,service,11,"116.318637,40.0027023;116.31864,40.002656;116.318646,40.0025548;116.3186738,40.0021264;116.31868,40.0020441;116.3186867,40.0019555;116.3186929,40.0019239;116.3187112,40.0017368;116.3187202,40.0016451;116.3187361,40.0014829;116.3187941,40.0008912"
way/80319175,LineString,,cycleway,17,"116.3111785,40.0004019;116.311204,40.0005586;116.3112194,40.00066;116.3112639,40.0007443;116.311311,40.0008633;116.3113258,40.0009623;116.3113256,40.0010367;116.3113097,40.0011602;116.3112883,40.001457;116.3113068,40.0018151;116.3113615,40.0018907;116.3114153,40.0019661;116.3114905,40.0020284;116.3116406,40.0021274;116.3118763,40.0021724;116.3123546,40.0022244;116.3124785,40.0022437"
way/80320173,LineString,,service,12,"116.3245034,40.0013037;116.3246711,40.0013039;116.3254309,40.0013241;116.3254871,40.001324;116.3255649,40.0013259;116.325919,40.0013353;116.326646,40.0013546;116.3267441,40.0013572;116.3270616,40.0013663;116.3280445,40.0013935;116.3281179,40.0013955;116.328165,40.0013968"
way/80343073,LineString,,service,6,"116.321732,40.0009992;116.3218318,40.0010037;116.3222201,40.0010166;116.3230704,40.0010426;116.3239536,40.0010782;116.3245159,40.0010982"
way/80343075,LineString,,service,9,"116.3216009,40.0020527;116.3217063,40.0020548;116.3217936,40.0020566;116.321912,40.0020589;116.322913,40.002079;116.3229931,40.0020796;116.3231161,40.0020827;116.3243349,40.0021076;116.3244545,40.00211"
way/80716984,LineString,,cycleway,5,"116.32169,40.0013687;116.3215837,40.0013636;116.3208974,40.0013307;116.3208023,40.0013245;116.3206481,40.0013163"
way/83689302,LineString,日新路,residential,19,"116.3223681,39.9961362;116.3224271,39.9961387;116.3236827,39.9961919;116.3246744,39.9962215;116.3257254,39.9962517;116.3262893,39.9962814;116.3263152,39.9962812;116.3265091,39.9962799;116.3266074,39.9962856;116.3267317,39.9962942;116.3268223,39.9963005;116.3281644,39.9963487;116.3282432,39.9963517;116.3290033,39.9963778;116.329071,39.9963997;116.3291294,39.9964189;116.3291767,39.9964541;116.3292272,39.996503;116.3292488,39.9965465"
way/83689619,LineString,,service,8,"116.3152404,40.0023542;116.3146271,40.0022497;116.3143777,40.0022063;116.3141213,40.0021951;116.3135627,40.002212;116.3132937,40.0021799;116.3129643,40.0021144;116.3124938,40.0020529"
way/83689877,LineString,,footway,3,"116.3216537,40.0016083;116.3217458,40.0016123;116.3218901,40.0016177"
way/83689878,LineString,,steps,2,"116.322211,40.0012176;116.3222176,40.0010837"
way/83690608,LineString,,steps,2,"116.3218901,40.0016177;116.3220296,40.0016176"
way/83690609,LineString,,footway,3,"116.3220296,40.0016176;116.3221954,40.0016223;116.3230311,40.0016562"
way/83785675,LineString,,service,12,"116.3182881,39.9993898;116.318288,39.9993642;116.3182876,39.9991429;116.3182453,39.9983733;116.3179608,39.9983884;116.3178661,39.9979226;116.3178585,39.9978038;116.3178368,39.9975417;116.3178163,39.9970584;116.3177845,39.9963161;116.3178838,39.9958369;116.3181961,39.994425"
way/83789639,LineString,,service,5,"116.318258,39.9998996;116.3181728,39.9997751;116.318172,39.9996839;116.3181771,39.9996451;116.3181807,39.9996178"
way/83789640,LineString,,service,4,"116.3183699,39.9996258;116.3183635,39.9996903;116.3183386,39.9997898;116.318258,39.9998996"
way/83789644,LineString,,service,4,"116.318258,39.9998996;116.3182409,40.0001747;116.3182384,40.0002158;116.3182093,40.0007009"
